"","TX.0002.BAL.RML.DL.2","TX.0003.BAL.RLL.DL.2","TX.0004.BAL.RML.DL.2","TX.0005.BAL.RML.DL.2","TX.0006.BAL.Lingula.DL.3","TX.0007.BAL.RLL.DL.2","TX.0010.BAL.RLL.DL.1","TX.0012.BAL.RML.DL.2","TX.0013.BAL.RLL.DL.1","TX.0015.BAL.RML.DL.2","U.CF.0002.BAL.RLL.DL.1.219.276","UNIV.0090.BAL.RLL.DL.2.218.275","UNIV.0092.BAL.RML.DL.2.218.275","UNIV.0093.BAL.LUL.DL.2.218.275","UNIV.0101.BAL.RLL.DL.2.218.275","UNIV.0106.BAL.RML.DL.2.218.275","UNIV.0109.BAL.RML.DL.2","UNIV.0110.BAL.RLL.DL.2.218.275","UNIV.0111.BAL.R.DL.2.218.275","UNIV.0118.BAL.RT.DL.2.218.275","UNIV.0120.BAL.RML.DL.2.218.275","UNIV.0122.BAL.RLL.DL.1","UNIV.0133.BAL.LLL.DL.2.218.275","UNIV.0134.BAL.RLL.DL.2.218.275","UNIV.0147.BAL.RML.DL.3.218.275","UNIV.0150.BAL.RML.DL.2.218.275","UNIV.0151.BAL.Right.DL.2.218.275","UNIV.0152.BAL.LUL.DL.3.219.276","UNIV.0158.BAL.RML.DL.2.219.275","UNIV.0185.BAL.LLL.DL.2.219.276","UNIV.0196.BAL.RML.DL.1","UNIV.0198.BAL.RLL.DL.2","UNIV.0206.BAL.RLL.DL.2","UNIV.0213.BAL.RML.DL.2","UNIV.0216.BAL.RML.DL.2","UNIV.0217.BAL.RML.DL.3","UNIV.0232.BAL.RML.DL.2","UNIV.0238.BAL.Ling.DL.3","UNIV.0246.BAL.RML.DL.2","UNIV.0248.BAL.Ling.DL.2","UNIV.0250.BAL.Ling.DL.2","UNIV.0258.BAL.LWL.DL.2","UNIV.0259.BAL.RML.DL.2","UNIV.0260.BAL.RML.DL.2","UNIV.0267.BAL.RLL.DL.2","UNIV.0277.BAL.RML.DL.2","UNIV.0278.BAL.Lingula.DL.2","UNIV.0281.BAL.RML.DL.2","TX.0002.Bronch.DL.3","TX.0003.Bronch.DL.3","TX.0003.Bronch.DL.5","TX.0005.Bronch.DL.6","TX.0005.Bronch.RL.6","TX.0006.Bronch.DL.6","TX.0006.Bronch.DL.7","TX.0006.Bronch.RL.6","TX.0006.Bronch.RL.7","TX.0007.Bronch.DL.10","TX.0007.Bronch.DL.4","TX.0010.Bronch.DL.3","TX.0010.Bronch.DL.6","TX.0015.Bronch.DL.4","TX.0016.Bronch.DL.3","TX.0020.Bronch.DL.6","TX.0024.Bronch.DL.6","TX.0024.Bronch.RL.6","TX.0029.Bronch.DL.6","TX.0030.Bronch.DL.3","TX.0030.Bronch.DL.4","TX.0033.Bronch.DL.6","TX.0034.Bronch.DL.3","TX.0034.Bronch.DL.6","TX.0034.Bronch.RL.6","TX.0036.Bronch.DL.7","TX.0039.BAL.RML.DL.1","TX.0040.Bronch.DL.5","TX.0041.BAL.RML.DL.1","TX.0043.Bronch.DL.6","TX.0044.Bronch.DL.4","TX.0045.Bronch.DL.6","TX.0046.Bronch.DL.5","TX.0047.Bronch.DL.4","TX.0048.Bronch.DL.5","TX.0049.Bronch.DL.5","TX.0051.Bronch.DL.4","TX.0053.Bronch.DL.4","TX.0059.Bronch.DL.5","TX.0060.BAL.RML.DL.1","TX.0060.Bronch.DL.4","TX.0062.BAL.RML.DL.2","TX.0062.Bronch.DL.3","TX.0063.BAL.RML.DL.2","TX.0066.BAL.RLL.DL.2","TX.0067.BAL.RML.DL.2","TX.0067.Bronch.DL.3","TX.0067.Bronch.DL.4","UNIV.0134.Bronch.DL.7","UNIV.0134.Bronch.RL.7","UNIV.0196.Bronch.DL.2","UNIV.0196.Bronch.DL.4","UNIV.0213.Bronch.DL.3","UNIV.0213.Bronch.RL.3","UNIV.0217.Bronch.DL.4","UNIV.0238.Bronch.DL.4","UNIV.0238.Bronch.RL.4","UNIV.0248.Bronch.DL.4","UNIV.0248.Bronch.RL.4","UNIV.0258.Bronch.DL.3","UNIV.0258.Bronch.DL.4","UNIV.0258.Bronch.RL.3","UNIV.0258.Bronch.RL.4","UNIV.0260.Bronch.DL.3","UNIV.0278.Bronch.DL.3","UNIV.0278.Bronch.RL.3","UNIV.0281.Bronch.DL.4","TX.0016.BAL.RML.DL.2","TX.0019.BAL.RLL.DL.2","TX.0020.BAL.RML.DL.2","TX.0022.BAL.RML.DL.2","TX.0023.BAL.RML.DL.2","TX.0024.BAL.RML.DL.2","TX.0025.BAL.RML.DL.2","TX.0026.BAL.RML.DL.2","TX.0027.BAL.RML.DL.2","TX.0028.BAL.RML.DL.2","TX.0029.BAL.RML.DL.2","TX.0030.BAL.RML.DL.2","TX.0032.BAL.RML.DL.2","TX.0033.BAL.RML.DL.2","TX.0034.BAL.Lingula.DL.2","TX.0035.BAL.RML.DL.2","TX.0036.BAL.RML.DL.2","TX.0037.BAL.RML.DL.2","TX.0038.BAL.RLL.DL.2","TX.0040.BAL.RML.DL.2","TX.0042.BAL.RML.DL.1","TX.0043.BAL.RML.DL.2","TX.0044.BAL.RML.DL.2","TX.0045.BAL.RML.DL.1","TX.0046.BAL.RLL.DL.2","TX.0047.BAL.RML.DL.2","TX.0048.BAL.RML.DL.2","TX.0049.BAL.RML.DL.2","TX.0050.BAL.RLL.DL.2","TX.0051.BAL.RLL.DL.2","TX.0052.BAL.RML.DL.2","TX.0053.BAL.RML.DL.2","TX.0054.BAL.RML.DL.2","TX.0055.BAL.RML.DL.2","TX.0056.BAL.RML.DL.2","TX.0058.BAL.RML.DL.2","TX.0059.BAL.RML.DL.2","TX.0061.BAL.R.DL.2","UNIV.0190.BAL.RML.DL.2","UNIV.0291.BAL.Right.DL.2","UNIV.0293.BAL.LLL.DL.2","TX.0002.Supraglottic.3","TX.0003.Supraglottic.3","TX.0004.Supraglottic.4","TX.0005.Supraglottic.3","TX.0006.Supraglottic.4","TX.0007.Supraglottic.3","TX.0010.Supraglottic.3","TX.0012.Supraglottic.3","TX.0013.Supraglottic.4","TX.0015.Supraglottic.4","TX.0016.Supraglottic.3","TX.0019.Supraglottic.3","TX.0020.Supraglottic.6","TX.0022.Supraglottic.3","TX.0023.Supraglottic.4","TX.0024.Supraglottic.4","TX.0025.Supraglottic.3","TX.0026.Supraglottic.3","TX.0027.Supraglottic.3","TX.0028.Supraglottic.3","TX.0029.Supraglottic.6","TX.0030.Supraglottic.3","TX.0032.Supraglottic.3","TX.0033.Supraglottic.3","TX.0034.Supraglottic.3","TX.0035.Supraglottic.3","TX.0036.Supraglottic.3","TX.0037.Supraglottic.1","TX.0038.Supraglottic.4","TX.0040.Supraglottic.3","TX.0041.Supraglottic.2","TX.0042.Supraglottic.4","TX.0043.Supraglottic.4","TX.0044.Supraglottic.3","TX.0045.Supraglottic.3","TX.0046.Supraglottic.3","TX.0047.Supraglottic.3","TX.0048.Supraglottic.3","TX.0049.Supraglottic.3","TX.0050.Supraglottic.2","TX.0051.Supraglottic.3","TX.0052.Supraglottic.3","TX.0053.Supraglottic.3","TX.0054.Supraglottic.1","TX.0055.Supraglottic.3","TX.0056.Supraglottic.2","TX.0058.Supraglottic.3","TX.0059.Supraglottic.4","TX.0060.Supraglottic.2","TX.0061.Supraglottic.3","TX.0062.Supraglottic.3","TX.0063.Supraglottic.3","TX.0066.Supraglottic.3","TX.0067.Supraglottic.3","U.CF.0002.Supraglottic.3","UNIV.0090.Supraglottic.3.227.283","UNIV.0092.Supraglottic.3.227.283","UNIV.0093.Supraglottic.6.227.283","UNIV.0101.Supraglottic.4.227.283","UNIV.0106.Supraglottic.4.227.283","UNIV.0109.Supraglottic.4.227.283","UNIV.0110.Supraglottic.4.227.283","UNIV.0111.Supraglottic.3.227.283","UNIV.0118.Supraglottic.4.227.283","UNIV.0120.Supraglottic.3.227.283","UNIV.0122.Supraglottic.3.227.283","UNIV.0133.Supraglottic.3.227.283","UNIV.0134.Supraglottic.5.227.283","UNIV.0147.Supraglottic.5.227.283","UNIV.0150.Supraglottic.3.227.283","UNIV.0151.Supraglottic.3.227.283","UNIV.0152.Supraglottic.4","UNIV.0158.Supraglottic.4.227.283","UNIV.0185.Supraglottic.4.227.283","UNIV.0196.Supraglottic.2","UNIV.0198.Supraglottic.3","UNIV.0206.Supraglottic.4","UNIV.0213.Supraglottic.3","UNIV.0216.Supraglottic.3","UNIV.0217.Supraglottic.4","UNIV.0232.Supraglottic.3","UNIV.0238.Supraglottic.4","UNIV.0246.Supraglottic.3","UNIV.0248.Supraglottic.4","UNIV.0250.Supraglottic.3","UNIV.0258.Supraglottic.3","UNIV.0259.Supraglottic.3","UNIV.0260.Supraglottic.4","UNIV.0267.Supraglottic.4","UNIV.0277.Supraglottic.4","UNIV.0278.Supraglottic.3","UNIV.0281.Supraglottic.4"
"260909f48439e9a66fa8d7c8d131fde8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f897575a9c50613ebb2acb013301a63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c29dea12154c8f4feb0f88e1dcdde50d",0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,82,0,0,0,129,0,0,0,0,0,0,0,0,0,0,13,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb9e72791769ae62822f8711bf78aa10",94,41,122,57,47,88,15,122,0,7,0,0,0,4,0,0,13,0,0,0,0,17,7,0,0,0,0,0,0,0,8,0,5,0,0,35,118,87,0,0,11,0,0,0,0,0,12,75,0,0,270,0,4,357,29,0,0,283,0,14,109,101,61,24,15,84,26,71,32,29,0,317,0,0,53,8,0,0,40,0,130,0,0,79,334,7,14,14,0,190,220,83,0,0,38,0,0,118,176,12,7,243,0,11,29,0,235,0,28,5,18,0,0,0,0,0,0,96,21,0,0,0,0,0,29,0,0,0,52,29,9,0,0,188,29,7,0,43,22,3,4,0,50,27,4,0,2,0,0,0,0,32,0,12,57,26,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b48a6cb0142e60a3dfc46423b98e4ac6",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,114,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0368385033a11c74a4f0ed259e560bd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,23,52,0,38,0,39,0,10,99,10,42,93,10,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,11,0,0,0,48,0,0,0,0,4,0,18,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496a5f3d299380c9de4c17bfc0100d63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a57ae9b96e42b97687119e937cded77",0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f732ffe05571c1dd5ec95ab530a132b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e51fe198a2d423e6235841a507fc5dd8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd0420d0a56d9afa882a42acdffe50b1",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43a8225498c17e806692e9dd3ae8cef7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6cc1eb0129c4e87db7c82219a394b7b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b4a424a95d4da9ea03682ed9d0223072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d201ef05844489782f0eebffc3f14194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4557feee1ae08c9987ec0b3ba074a04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bc16085bc2dc19acd5534ec14e76a62a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381c489f292dddca99862543b843d897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
